STATION_NAME ELEVATION LATITUDE LONGITUDE DATE PRCP SNWD SNOW
ATHENS 2.8 NE AL US -86.931892 20231218 -9999
ATHENS 2.8 NE AL US -86.931892 20231219 -9999
ATHENS 2.8 NE AL US -86.931892 20231220 -9999
ATHENS 2.8 NE AL US -86.931892 20231221 -9999
ATHENS 2.8 NE AL US -86.931892 20231222 -9999
ATHENS 2.8 NE AL US -86.931892 20231223 -9999
ATHENS 2.8 NE AL US -86.931892 20231224 -9999
ATHENS 2.8 NE AL US -86.931892 20231226 1.63
ATHENS 2.8 NE AL US -86.931892 20231227 -9999
ATHENS 2.8 NE AL US -86.931892 20231228 -9999
ATHENS 2.8 NE AL US -86.931892 20231229 -9999
ATHENS 2.8 NE AL US -86.931892 20231230 -9999
ATHENS 2.8 NE AL US -86.931892 20231231 -9999
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231201
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231202
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231203
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231204
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231205
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231206
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231207
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231208
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231209
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231210
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231211
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231212
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231213
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231214
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231215
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231216
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231217
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231218
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231219
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231221
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231222
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231223
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231224
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231225
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231226
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231227
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231228
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231229
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231230
MUSCLE SHOALS WATER PLANT AL 34.7586 -87.6411 20231231
FOLEY 1.0 W AL US -87.701518 20231201 -9999
FOLEY 1.0 W AL US -87.701518 20231202 -9999
FOLEY 1.0 W AL US -87.701518 20231203 -9999
FOLEY 1.0 W AL US -87.701518 20231204 -9999
FOLEY 1.0 W AL US -87.701518 20231205 -9999
FOLEY 1.0 W AL US -87.701518 20231206 -9999
FOLEY 1.0 W AL US -87.701518 20231207 -9999
FOLEY 1.0 W AL US -87.701518 20231208 -9999
FOLEY 1.0 W AL US -87.701518 20231209 -9999
FOLEY 1.0 W AL US -87.701518 20231210 -9999
FOLEY 1.0 W AL US -87.701518 20231211 -9999
FOLEY 1.0 W AL US -87.701518 20231212 -9999
FOLEY 1.0 W AL US -87.701518 20231213 -9999
FOLEY 1.0 W AL US -87.701518 20231214 -9999
FOLEY 1.0 W AL US -87.701518 20231215 -9999
FOLEY 1.0 W AL US -87.701518 20231216 -9999
FOLEY 1.0 W AL US -87.701518 20231217 -9999
FOLEY 1.0 W AL US -87.701518 20231218 -9999
FOLEY 1.0 W AL US -87.701518 20231219 -9999
FOLEY 1.0 W AL US -87.701518 20231220 -9999
FOLEY 1.0 W AL US -87.701518 20231221 -9999
FOLEY 1.0 W AL US -87.701518 20231222 -9999
FOLEY 1.0 W AL US -87.701518 20231223 -9999
FOLEY 1.0 W AL US -87.701518 20231224 -9999
FOLEY 1.0 W AL US -87.701518 20231225 -9999
FOLEY 1.0 W AL US -87.701518 20231226 -9999
FOLEY 1.0 W AL US -87.701518 20231227 -9999
FOLEY 1.0 W AL US -87.701518 20231228 -9999
FOLEY 1.0 W AL US -87.701518 20231229 -9999
FOLEY 1.0 W AL US -87.701518 20231230 -9999
FOLEY 1.0 W AL US -87.701518 20231231 -9999
GOODWATER 8.4 N AL US -86.046203 20231201 -9999
GOODWATER 8.4 N AL US -86.046203 20231202 -9999
GOODWATER 8.4 N AL US -86.046203 20231203 -9999
GOODWATER 8.4 N AL US -86.046203 20231204 -9999
GOODWATER 8.4 N AL US -86.046203 20231205 -9999
GOODWATER 8.4 N AL US -86.046203 20231206 -9999
GOODWATER 8.4 N AL US -86.046203 20231207 -9999
GOODWATER 8.4 N AL US -86.046203 20231208 -9999
GOODWATER 8.4 N AL US -86.046203 20231209 -9999
GOODWATER 8.4 N AL US -86.046203 20231210 -9999
GOODWATER 8.4 N AL US -86.046203 20231211 -9999
GOODWATER 8.4 N AL US -86.046203 20231212 -9999
GOODWATER 8.4 N AL US -86.046203 20231213 -9999
GOODWATER 8.4 N AL US -86.046203 20231214 -9999
GOODWATER 8.4 N AL US -86.046203 20231215 -9999
GOODWATER 8.4 N AL US -86.046203 20231216 -9999
GOODWATER 8.4 N AL US -86.046203 20231217 -9999
GOODWATER 8.4 N AL US -86.046203 20231218 -9999
GOODWATER 8.4 N AL US -86.046203 20231219 -9999
GOODWATER 8.4 N AL US -86.046203 20231220 -9999
GOODWATER 8.4 N AL US -86.046203 20231221 -9999
GOODWATER 8.4 N AL US -86.046203 20231222 -9999
GOODWATER 8.4 N AL US -86.046203 20231223 -9999
GOODWATER 8.4 N AL US -86.046203 20231224 -9999
GOODWATER 8.4 N AL US -86.046203 20231225 -9999
GOODWATER 8.4 N AL US -86.046203 20231226 -9999
GOODWATER 8.4 N AL US -86.046203 20231227 -9999
GOODWATER 8.4 N AL US -86.046203 20231228 -9999
GOODWATER 8.4 N AL US -86.046203 20231229 -9999
GOODWATER 8.4 N AL US -86.046203 20231230 -9999
GOODWATER 8.4 N AL US -86.046203 20231231 -9999
DAPHNE 4.4 SE AL US -87.84261 20231201 -9999
DAPHNE 4.4 SE AL US -87.84261 20231202 -9999
DAPHNE 4.4 SE AL US -87.84261 20231203 -9999
DAPHNE 4.4 SE AL US -87.84261 20231204 -9999
DAPHNE 4.4 SE AL US -87.84261 20231205 -9999
DAPHNE 4.4 SE AL US -87.84261 20231206 -9999
DAPHNE 4.4 SE AL US -87.84261 20231207 -9999
DAPHNE 4.4 SE AL US -87.84261 20231208 -9999
DAPHNE 4.4 SE AL US -87.84261 20231209 -9999
DAPHNE 4.4 SE AL US -87.84261 20231210 -9999
DAPHNE 4.4 SE AL US -87.84261 20231211 -9999
DAPHNE 4.4 SE AL US -87.84261 20231212 -9999
DAPHNE 4.4 SE AL US -87.84261 20231213 -9999
DAPHNE 4.4 SE AL US -87.84261 20231214 -9999
DAPHNE 4.4 SE AL US -87.84261 20231215 -9999
DAPHNE 4.4 SE AL US -87.84261 20231217 -9999
DAPHNE 4.4 SE AL US -87.84261 20231218 -9999
DAPHNE 4.4 SE AL US -87.84261 20231219 -9999
DAPHNE 4.4 SE AL US -87.84261 20231220 -9999
DAPHNE 4.4 SE AL US -87.84261 20231221 -9999
DAPHNE 4.4 SE AL US -87.84261 20231222 -9999
DAPHNE 4.4 SE AL US -87.84261 20231223 -9999
DAPHNE 4.4 SE AL US -87.84261 20231224 -9999
DAPHNE 4.4 SE AL US -87.84261 20231225 -9999
DAPHNE 4.4 SE AL US -87.84261 20231226 -9999
DAPHNE 4.4 SE AL US -87.84261 20231227 -9999
DAPHNE 4.4 SE AL US -87.84261 20231228 -9999
DAPHNE 4.4 SE AL US -87.84261 20231229 -9999
DAPHNE 4.4 SE AL US -87.84261 20231230 -9999
DAPHNE 4.4 SE AL US -87.84261 20231231 -9999
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231201
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231202
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231203
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231204
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231205
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231206
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231207
FORT MORGAN 2.5 E AL 30.232251 -87.978457 20231208
